,Object,RA,DEC,Class,S-Plus
0,A 0336-4905,03 37 57.6,-48 55 40,PRG,True
1,A 0351-5458,03 52 49.3,-54 49 50,PRG,True
2,A 0414-4756,04 16 18.68,-47 49 10.81,PRG,True
3,A 1256-1710,12 58 43.5,-17 26 49,PRG,True
4,A 2102-2345,21 05 40.14,-23 33 04.74,PRG,True
5,A 2104-2536,21 07 24.40,-25 24 44.63,PRG,True
6,AM 0034-351,00 37 04.6600,-34 56 24.400,PRG,True
7,AM 0035-335,00 37 41.1100,-33 42 58.800,PRG,True
8,AM 0051-271,00 53 59.57,-27 08 33.35,PRG,True
9,AM 0053-353,00 56 19.5500,-35 14 52.200,PRG,True
10,AM 0058-311,01 00 44.6000,-30 55 49.100,PRG,True
11,AM 0113-324,01 15 53.9200,-32 28 38.900,PRG,True
12,AM 0119-340,01 21 17.4100,-33 50 23.000,PRG,True
13,AM 0146-321,01 49 04.5800,-31 59 46.800,PRG,True
14,AM 0147-350,01 49 43.7000,-34 49 51.900,PRG,True
15,AM 0154-353,01 57 09.0000,-35 18 48.400,PRG,True
16,AM 0157-311,01 59 39.5300,-31 01 13.100,PRG,True
17,AM 0203-325,02 05 46.3400,-32 40 35.200,PRG,True
18,AM 0226-320,02 28 20.1100,-31 52 51.700,PRG,True
19,AM 0227-484,02 29 16.1100,-48 29 28.500,PRG,True
20,AM 0229-444,02 31 38.7900,-44 31 27.500,PRG,True
21,AM 0236-310,02 38 45.1500,-30 48 23.400,PRG,True
22,AM 0322-374,03 23 54.2112,-37 30 33.026,PRG,True
23,AM 0329-715,03 29 43.6800,-71 45 25.400,PRG,True
24,AM 0330-324,03 32 49.2900,-32 40 07.300,PRG,True
25,AM 0332-305,03 34 16.8000,-30 43 57.100,PRG,True
26,AM 0332-324,03 34 57.28,-32 38 25.03,PRG,True
27,AM 0343-383,03 45 02.0800,-38 22 56.600,PRG,True
28,AM 0345-335,03 47 04.8100,-33 42 35.500,PRG,True
29,AM 0346-570,03 47 42.8400,-56 57 07.500,PRG,True
30,AM 0352-360,03 54 28.4500,-35 58 01.700,PRG,True
31,AM 0403-555,04 04 16.7000,-55 46 08.000,PRG,True
32,AM 0411-575,04 12 43.2500,-57 44 16.700,PRG,True
33,AM 0412-525,04 13 50.63,-52 47 42.15,PRG,True
34,AM 0413-590,04 14 27.0845,-58 57 56.571,PRG,True
35,AM 0414-491,04 16 08.1137,-49 11 20.203,PRG,True
36,AM 0415-475,04 16 30.0600,-47 50 55.600,PRG,True
37,AM 0417-391,04 19 39.3653,-39 10 24.025,PRG,True
38,AM 0420-440,04 22 12.8400,-43 58 17.600,PRG,True
39,AM 0422-473,04 24 21.0100,-47 31 35.500,PRG,True
40,AM 0426-484,04 28 02.2000,-48 43 02.000,PRG,True
41,AM 0432-625,04 32 33.7200,-62 51 48.000,PRG,True
42,AM 0433-393,04 35 29.1200,-39 30 57.500,PRG,True
43,AM 0437-314,04 39 40.3465,-31 42 39.460,PRG,True
44,AM 0437-644,04 37 55.0900,-64 38 59.300,PRG,True
45,AM 0438-503,04 39 22.2000,-50 31 47.000,PRG,True
46,AM 0438-530,04 38 38.34,-53 03 20.49,PRG,True
47,AM 0438-661,04 38 39.5400,-66 13 57.400,PRG,True
48,AM 0439-373,04 40 59.5600,-37 34 10.600,PRG,True
49,AM 0445-525,04 46 12.2700,-52 54 48.700,PRG,True
50,AM 0445-635,04 45 39.7773,-63 47 52.499,PRG,True
51,AM 0452-594,04 52 52.1500,-59 44 32.100,PRG,True
52,AM 0455-465,04 57 01.7004,-46 45 02.988,PRG,True
53,AM 1003-215,10 05 43.4000,-22 05 49.000,PRG,True
54,AM 1006-380,10 09 06.9977,-38 24 04.149,PRG,True
55,AM 1011-284,10 14 11.4600,-28 56 31.300,PRG,True
56,AM 1024-234,10 26 56.2900,-24 05 21.200,PRG,True
57,AM 1025-370,10 27 13.8000,-37 25 17.000,PRG,True
58,AM 1035-260,10 37 29.06,-26 19 00.14,PRG,True
59,AM 1045-245,10 48 23.4600,-25 09 43.400,PRG,True
60,AM 1054-325,10 56 58.10,-33 09 56.50,PRG,True
61,AM 1110-251,11 12 58.0996,-25 35 14.235,PRG,True
62,AM 1303-235,13 06 24.0000,-24 09 50.600,PRG,True
63,AM 1308-253,13 11 08.8800,-25 53 58.600,PRG,True
64,AM 2056-392,21 00 07.8447,-39 17 57.721,PRG,True
65,AM 2102-252,21 05 43.8600,-25 14 16.200,PRG,True
66,AM 2104-241,21 07 08.8500,-24 02 39.900,PRG,True
67,AM 2128-302,21 31 08.6686,-30 16 15.598,PRG,True
68,AM 2130-294,21 33 29.6700,-29 30 23.300,PRG,True
69,AM 2240-304,22 43 36.8400,-30 28 50.200,PRG,True
70,AM 2246-581,22 49 19.0121,-57 56 12.839,PRG,True
71,AM 2334-292,23 37 06.5600,-29 05 01.700,PRG,True
72,AM 2338-312,23 41 22.0000,-31 03 12.000,PRG,True
73,ARP 118,02 55 12.1960,-00 11 00.806,PRG,True
74,Abell 1631-14,12 52 32.4,-15 52 28,PRG,True
